case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
strl_low-n10000-p32,direct,load,retained,2,,572992,493000,36989,36782,142655488
strl_low-n10000-p32,direct,load,retained,3,,572992,493000,36989,36782,142671872
strl_low-n10000-p32,direct,first_value,allocation,1,413568,,,,,
strl_low-n10000-p32,direct,first_value,retained,1,,598168,516400,38157,37843,143097856
strl_low-n10000-p32,direct,first_value,retained,2,,598168,516400,38157,37843,142671872
strl_low-n10000-p32,direct,first_value,retained,3,,598168,516400,38157,37843,142753792
strl_low-n10000-p32,direct,fraction,allocation,1,1625992,,,,,
strl_low-n10000-p32,direct,fraction,retained,1,,980000,855832,55980,55594,143458304
strl_low-n10000-p32,direct,fraction,retained,2,,980000,855832,55980,55594,143589376
strl_low-n10000-p32,direct,fraction,retained,3,,980000,855832,55980,55594,143409152
strl_low-n10000-p32,direct,known5_fraction,allocation,1,1574040,,,,,
strl_low-n10000-p32,direct,known5_fraction,retained,1,,1265496,1143744,75799,75709,134660096
strl_low-n10000-p32,direct,known5_fraction,retained,2,,1265496,1143744,75799,75709,134742016
strl_low-n10000-p32,direct,known5_fraction,retained,3,,1265496,1143744,75799,75709,134807552
strl_low-n10000-p32,direct,all,allocation,1,1724320,,,,,
strl_low-n10000-p32,direct,all,retained,1,,1439960,1357976,37726,37418,143556608
strl_low-n10000-p32,direct,all,retained,2,,1439960,1357976,37726,37418,143622144
strl_low-n10000-p32,direct,all,retained,3,,1439960,1357976,37726,37418,144506880
strl_low-n10000-p32,direct,datasig,allocation,1,434696,,,,,
strl_low-n10000-p32,direct,datasig,retained,1,,776664,694512,48083,47732,1205321728
strl_low-n10000-p32,direct,datasig,retained,2,,776664,694512,48083,47732,1205075968
strl_low-n10000-p32,direct,datasig,retained,3,,776664,694512,48083,47732,1205059584
strl_high-n10000-p32,direct,load,allocation,1,699968,,,,,
strl_high-n10000-p32,direct,load,retained,1,,825152,745160,36989,36782,414433280
strl_high-n10000-p32,direct,load,retained,2,,825152,745160,36989,36782,414466048
strl_high-n10000-p32,direct,load,retained,3,,825152,745160,36989,36782,414253056
strl_high-n10000-p32,direct,first_value,allocation,1,671360,,,,,
strl_high-n10000-p32,direct,first_value,retained,1,,850328,768560,38157,37843,414318592
strl_high-n10000-p32,direct,first_value,retained,2,,850328,768560,38157,37843,415858688
strl_high-n10000-p32,direct,first_value,retained,3,,850328,768560,38157,37843,414351360
strl_high-n10000-p32,direct,fraction,allocation,1,1915480,,,,,
strl_high-n10000-p32,direct,fraction,retained,1,,4683512,4429320,56732,56335,482820096
